1659,0.0100279,0.0072584
138,5.97e-05,4.97e-05
1620,0.0089675,0.0059738
1572,0.0081868,0.0055028
1396,0.0062781,0.0042621
1728,0.0108885,0.0066396
1531,0.0076164,0.0051744
1728,0.0102636,0.0065378
824,0.0028272,0.0019671
291,0.0002487,0.0001881
1686,0.0095865,0.0061806
1764,0.0099631,0.0070603
1917,0.0128034,0.0088368
502,0.0009298,0.0005831
1589,0.0078678,0.0055469
460,0.000698,0.0004641
535,0.0008228,0.0007079
1631,0.0083914,0.0058267
953,0.0026321,0.0019848
82,2.55e-05,2.09e-05
587,0.0010417,0.0007718
276,0.0002456,0.0001738
309,0.0002404,0.0002094
196,0.0001154,8.95e-05
832,0.0020386,0.001531
1733,0.0094951,0.0069239
556,0.0008365,0.0006821
305,0.0002413,0.0002138
1824,0.011789,0.0084396
1056,0.0035728,0.0027146
1797,0.0107363,0.008022
776,0.0027802,0.00158
48,1.31e-05,1.1e-05
1854,0.0114707,0.0074665
1942,0.0124297,0.0081599
1126,0.0036358,0.002793
326,0.0002818,0.0002764
751,0.001448,0.0012378
1247,0.0049365,0.003523
817,0.0018341,0.001454
617,0.0009612,0.0008402
581,0.000801,0.0007384
314,0.0002106,0.0002172
888,0.0021257,0.0018559
1696,0.0090942,0.0066576
982,0.0028127,0.0021306
1595,0.0078736,0.0057062
504,0.0006731,0.0005691
33,1.06e-05,6.7e-06
42,9.9e-06,7.6e-06
591,0.0007728,0.0007673
1520,0.0080747,0.0051348
1126,0.003553,0.0028566
1246,0.0048118,0.0035144
926,0.0023895,0.0018579
1870,0.0113339,0.0077934
1001,0.0031845,0.0026069
1018,0.0031947,0.0022538
1826,0.0108862,0.0072028
80,2.5e-05,2.12e-05
1928,0.0137135,0.0080933
792,0.0017493,0.0013826
1827,0.0112879,0.0072855
1833,0.0113377,0.007468
1820,0.011112,0.0071946
46,1.24e-05,1.17e-05
1392,0.0064716,0.004412
1598,0.0086858,0.0055204
720,0.0014632,0.001216
812,0.0018364,0.0014707
471,0.0006631,0.0004904
1857,0.0119146,0.0076452
1264,0.005422,0.0034965
963,0.002924,0.0022858
316,0.000269,0.0002187
1226,0.0049474,0.0035485
515,0.0006376,0.0005873
821,0.0018547,0.0014837
1822,0.0119513,0.0072262
1514,0.0082368,0.0056009
463,0.0005798,0.0004695
735,0.0015099,0.0012131
1525,0.0080041,0.0051824
1352,0.0059918,0.0043873
458,0.000616,0.0005818
1771,0.0120506,0.0081352
762,0.0020014,0.0015725
468,0.0006198,0.0005183
1924,0.0147789,0.0083493
914,0.0026901,0.0018876
1728,0.01128,0.0072265
220,0.0001505,0.0001764
1470,0.0080365,0.0074518
1883,0.0134592,0.0079191
582,0.0007726,0.0007952
1554,0.0100895,0.0055092
1142,0.0048632,0.0031961
1360,0.0064314,0.0041731
233,0.0001324,0.0001251
590,0.0009631,0.0007827
1167,0.0045345,0.0031643
1666,0.0111359,0.0073464
60,1.78e-05,1.45e-05
1025,0.0036832,0.0025282
163,0.0001059,7.56e-05
290,0.0002383,0.0001943
1980,0.0164574,0.0092489
1192,0.0050705,0.0035552
320,0.0002663,0.000228
1482,0.0082112,0.0048963
1304,0.0063128,0.0040316
1999,0.0154835,0.0093282
917,0.0023391,0.0020024
974,0.0025767,0.0021543
591,0.0007643,0.0007904
841,0.0016574,0.0016837
572,0.0007976,0.0008094
1967,0.0139302,0.0089241
1232,0.0045757,0.0033025
1600,0.0080597,0.0056982
1517,0.0077569,0.0050311
1519,0.0072106,0.0051702
1157,0.0041101,0.0029353
1475,0.0068356,0.0048084
1441,0.0062733,0.004566
287,0.0002701,0.0002345
121,5.54e-05,3.93e-05
1901,0.0118082,0.0081498
1331,0.0054302,0.0044837
1695,0.0095316,0.0065813
1894,0.0114743,0.008809
888,0.0023177,0.0017105
